symbol,split,analyst_a,analyst_b,error_correlation
BTCUSDT,test,momentum6,momentum6,1
BTCUSDT,test,momentum6,momentum24,0.998682801722
BTCUSDT,test,momentum6,meanrev1,0.999725863424
BTCUSDT,test,momentum6,volume_breakout,0.999823634585
BTCUSDT,test,momentum24,momentum6,0.998682801722
BTCUSDT,test,momentum24,momentum24,1
BTCUSDT,test,momentum24,meanrev1,0.998300650626
BTCUSDT,test,momentum24,volume_breakout,0.998471638883
BTCUSDT,test,meanrev1,momentum6,0.999725863424
BTCUSDT,test,meanrev1,momentum24,0.998300650626
BTCUSDT,test,meanrev1,meanrev1,1
BTCUSDT,test,meanrev1,volume_breakout,0.999790493373
BTCUSDT,test,volume_breakout,momentum6,0.999823634585
BTCUSDT,test,volume_breakout,momentum24,0.998471638883
BTCUSDT,test,volume_breakout,meanrev1,0.999790493373
BTCUSDT,test,volume_breakout,volume_breakout,1
ETHUSDT,test,momentum6,momentum6,1
ETHUSDT,test,momentum6,momentum24,0.993154008787
ETHUSDT,test,momentum6,meanrev1,0.999978323057
ETHUSDT,test,momentum6,volume_breakout,0.999928974206
ETHUSDT,test,momentum24,momentum6,0.993154008787
ETHUSDT,test,momentum24,momentum24,1
ETHUSDT,test,momentum24,meanrev1,0.993464935851
ETHUSDT,test,momentum24,volume_breakout,0.993672194199
ETHUSDT,test,meanrev1,momentum6,0.999978323057
ETHUSDT,test,meanrev1,momentum24,0.993464935851
ETHUSDT,test,meanrev1,meanrev1,1
ETHUSDT,test,meanrev1,volume_breakout,0.999962612345
ETHUSDT,test,volume_breakout,momentum6,0.999928974206
ETHUSDT,test,volume_breakout,momentum24,0.993672194199
ETHUSDT,test,volume_breakout,meanrev1,0.999962612345
ETHUSDT,test,volume_breakout,volume_breakout,1
SOLUSDT,test,momentum6,momentum6,1
SOLUSDT,test,momentum6,momentum24,0.998148321048
SOLUSDT,test,momentum6,meanrev1,0.999119490432
SOLUSDT,test,momentum6,volume_breakout,0.999104267963
SOLUSDT,test,momentum24,momentum6,0.998148321048
SOLUSDT,test,momentum24,momentum24,1
SOLUSDT,test,momentum24,meanrev1,0.999566225067
SOLUSDT,test,momentum24,volume_breakout,0.999600663933
SOLUSDT,test,meanrev1,momentum6,0.999119490432
SOLUSDT,test,meanrev1,momentum24,0.999566225067
SOLUSDT,test,meanrev1,meanrev1,1
SOLUSDT,test,meanrev1,volume_breakout,0.999913021966
SOLUSDT,test,volume_breakout,momentum6,0.999104267963
SOLUSDT,test,volume_breakout,momentum24,0.999600663933
SOLUSDT,test,volume_breakout,meanrev1,0.999913021966
SOLUSDT,test,volume_breakout,volume_breakout,1
